=================================================================
=== Medicion de Energia Raspberry Pi 5 Iniciada ===
=================================================================
Etiqueta:        Qiime2_e002_822
Intervalo:       1.0 s
Metodo telemetria: Modelo Dinamico Calibrado (hwmon + CPU)
Archivo de salida: energia_Qiime2_e002_822_20260909_152757.csv
Presiona Ctrl+C para detener la medicion cuando el proceso finalice.


[2026-09-09 15:28:39.220] [HWMON] CPU:  25.2% | Temp: 54.5C | Power:  4.05 W | Energia: 0.0474 Wh | Muestras: 42
[2026-09-09 15:28:40.220] [HWMON] CPU:  25.1% | Temp: 56.2C | Power:  4.07 W | Energia: 0.0485 Wh | Muestras: 43
[2026-09-09 15:28:41.221] [HWMON] CPU:  25.2% | Temp: 55.6C | Power:  4.07 W | Energia: 0.0497 Wh | Muestras: 44
[2026-09-09 15:28:42.221] [HWMON] CPU:  25.1% | Temp: 55.1C | Power:  4.05 W | Energia: 0.0508 Wh | Muestras: 45
[2026-09-09 15:28:43.222] [HWMON] CPU:  25.4% | Temp: 56.2C | Power:  4.09 W | Energia: 0.0519 Wh | Muestras: 46
[2026-09-09 15:28:44.222] [HWMON] CPU:  26.3% | Temp: 56.8C | Power:  4.14 W | Energia: 0.0531 Wh | Muestras: 47
[2026-09-09 15:28:45.222] [HWMON] CPU:  25.5% | Temp: 55.6C | Power:  4.09 W | Energia: 0.0542 Wh | Muestras: 48
[2026-09-09 15:28:46.223] [HWMON] CPU:  25.2% | Temp: 56.2C | Power:  4.08 W | Energia: 0.0553 Wh | Muestras: 49
[2026-09-09 15:28:47.223] [HWMON] CPU:  25.0% | Temp: 56.8C | Power:  4.08 W | Energia: 0.0565 Wh | Muestras: 50
[2026-09-09 15:28:48.224] [HWMON] CPU:  25.2% | Temp: 55.1C | Power:  4.06 W | Energia: 0.0576 Wh | Muestras: 51
[2026-09-09 15:28:49.224] [HWMON] CPU:  25.0% | Temp: 54.5C | Power:  4.04 W | Energia: 0.0587 Wh | Muestras: 52
[2026-09-09 15:28:50.225] [HWMON] CPU:  25.2% | Temp: 56.2C | Power:  4.08 W | Energia: 0.0599 Wh | Muestras: 53
[2026-09-09 15:28:51.225] [HWMON] CPU:  25.2% | Temp: 55.1C | Power:  4.06 W | Energia: 0.0610 Wh | Muestras: 54
[2026-09-09 15:28:52.225] [HWMON] CPU:  25.1% | Temp: 56.8C | Power:  4.08 W | Energia: 0.0621 Wh | Muestras: 55
[2026-09-09 15:28:53.226] [HWMON] CPU:  25.2% | Temp: 55.1C | Power:  4.06 W | Energia: 0.0632 Wh | Muestras: 56
[2026-09-09 15:28:54.226] [HWMON] CPU:  25.0% | Temp: 55.6C | Power:  4.06 W | Energia: 0.0644 Wh | Muestras: 57
[2026-09-09 15:28:55.227] [HWMON] CPU:  25.2% | Temp: 55.6C | Power:  4.07 W | Energia: 0.0655 Wh | Muestras: 58
