=================================================================
=== Medicion de Energia Raspberry Pi 5 Iniciada ===
=================================================================
Etiqueta:        Qiime2_e001_821
Intervalo:       1.0 s
Metodo telemetria: Modelo Dinamico Calibrado (hwmon + CPU)
Archivo de salida: energia_Qiime2_e001_821_20260909_150320.csv
Presiona Ctrl+C para detener la medicion cuando el proceso finalice.


[2026-09-09 15:04:06.208] [HWMON] CPU:   5.9% | Temp: 48.0C | Power:  3.00 W | Energia: 0.0442 Wh | Muestras: 42
[2026-09-09 15:04:07.208] [HWMON] CPU:   6.5% | Temp: 50.7C | Power:  3.04 W | Energia: 0.0450 Wh | Muestras: 43
[2026-09-09 15:04:12.734] [HWMON] CPU:  10.1% | Temp: 49.0C | Power:  3.22 W | Energia: 0.0499 Wh | Muestras: 44
[2026-09-09 15:04:13.734] [HWMON] CPU:  25.3% | Temp: 49.6C | Power:  3.99 W | Energia: 0.0510 Wh | Muestras: 45
[2026-09-09 15:04:14.735] [HWMON] CPU:  26.2% | Temp: 51.8C | Power:  4.06 W | Energia: 0.0522 Wh | Muestras: 46
[2026-09-09 15:04:15.735] [HWMON] CPU:  25.3% | Temp: 50.7C | Power:  4.00 W | Energia: 0.0533 Wh | Muestras: 47
[2026-09-09 15:04:16.735] [HWMON] CPU:  25.1% | Temp: 49.6C | Power:  3.98 W | Energia: 0.0544 Wh | Muestras: 48
[2026-09-09 15:04:17.736] [HWMON] CPU:  25.3% | Temp: 50.7C | Power:  4.00 W | Energia: 0.0555 Wh | Muestras: 49
[2026-09-09 15:04:18.736] [HWMON] CPU:  24.9% | Temp: 51.2C | Power:  3.99 W | Energia: 0.0566 Wh | Muestras: 50
[2026-09-09 15:04:19.737] [HWMON] CPU:  25.3% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0577 Wh | Muestras: 51
[2026-09-09 15:04:20.737] [HWMON] CPU:  25.3% | Temp: 50.1C | Power:  3.99 W | Energia: 0.0588 Wh | Muestras: 52
[2026-09-09 15:04:21.738] [HWMON] CPU:  25.1% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0599 Wh | Muestras: 53
[2026-09-09 15:04:22.738] [HWMON] CPU:  25.2% | Temp: 51.8C | Power:  4.01 W | Energia: 0.0611 Wh | Muestras: 54
