=================================================================
=== Medicion de Energia Raspberry Pi 5 Iniciada ===
=================================================================
Etiqueta:        Qiime2_c003_820
Intervalo:       1.0 s
Metodo telemetria: Modelo Dinamico Calibrado (hwmon + CPU)
Archivo de salida: energia_Qiime2_c003_820_20260909_150320.csv
Presiona Ctrl+C para detener la medicion cuando el proceso finalice.


[2026-09-09 15:04:10.243] [HWMON] CPU:   7.3% | Temp: 49.6C | Power:  3.07 W | Energia: 0.0476 Wh | Muestras: 42
[2026-09-09 15:04:11.243] [HWMON] CPU:   0.0% | Temp: 48.5C | Power:  2.70 W | Energia: 0.0483 Wh | Muestras: 43
[2026-09-09 15:04:12.244] [HWMON] CPU:  20.1% | Temp: 49.6C | Power:  3.73 W | Energia: 0.0494 Wh | Muestras: 44
[2026-09-09 15:04:13.244] [HWMON] CPU:  25.2% | Temp: 50.1C | Power:  3.99 W | Energia: 0.0505 Wh | Muestras: 45
[2026-09-09 15:04:14.245] [HWMON] CPU:  25.2% | Temp: 50.7C | Power:  4.00 W | Energia: 0.0516 Wh | Muestras: 46
[2026-09-09 15:04:15.245] [HWMON] CPU:  25.1% | Temp: 49.6C | Power:  3.98 W | Energia: 0.0527 Wh | Muestras: 47
[2026-09-09 15:04:16.246] [HWMON] CPU:  25.4% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0538 Wh | Muestras: 48
[2026-09-09 15:04:17.246] [HWMON] CPU:  24.8% | Temp: 49.0C | Power:  3.97 W | Energia: 0.0549 Wh | Muestras: 49
[2026-09-09 15:04:18.246] [HWMON] CPU:  25.4% | Temp: 50.7C | Power:  4.01 W | Energia: 0.0560 Wh | Muestras: 50
[2026-09-09 15:04:19.247] [HWMON] CPU:  26.0% | Temp: 50.1C | Power:  4.03 W | Energia: 0.0571 Wh | Muestras: 51
[2026-09-09 15:04:20.247] [HWMON] CPU:  25.1% | Temp: 50.7C | Power:  3.99 W | Energia: 0.0582 Wh | Muestras: 52
[2026-09-09 15:04:21.248] [HWMON] CPU:  25.2% | Temp: 49.6C | Power:  3.99 W | Energia: 0.0594 Wh | Muestras: 53
[2026-09-09 15:04:22.248] [HWMON] CPU:  25.0% | Temp: 50.1C | Power:  3.98 W | Energia: 0.0605 Wh | Muestras: 54
[2026-09-09 15:04:23.249] [HWMON] CPU:  25.4% | Temp: 50.7C | Power:  4.01 W | Energia: 0.0616 Wh | Muestras: 55
[2026-09-09 15:04:24.249] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0627 Wh | Muestras: 56
[2026-09-09 15:04:25.249] [HWMON] CPU:  25.1% | Temp: 50.7C | Power:  3.99 W | Energia: 0.0638 Wh | Muestras: 57
[2026-09-09 15:04:26.250] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0649 Wh | Muestras: 58
[2026-09-09 15:04:27.250] [HWMON] CPU:  25.1% | Temp: 49.6C | Power:  3.98 W | Energia: 0.0660 Wh | Muestras: 59
[2026-09-09 15:04:28.251] [HWMON] CPU:  25.0% | Temp: 50.1C | Power:  3.98 W | Energia: 0.0671 Wh | Muestras: 60
[2026-09-09 15:04:29.251] [HWMON] CPU:  25.2% | Temp: 50.7C | Power:  4.00 W | Energia: 0.0682 Wh | Muestras: 61
[2026-09-09 15:04:30.252] [HWMON] CPU:  25.1% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0693 Wh | Muestras: 62
[2026-09-09 15:04:31.252] [HWMON] CPU:  25.0% | Temp: 51.2C | Power:  3.99 W | Energia: 0.0704 Wh | Muestras: 63
[2026-09-09 15:04:32.252] [HWMON] CPU:  25.2% | Temp: 51.8C | Power:  4.01 W | Energia: 0.0716 Wh | Muestras: 64
[2026-09-09 15:04:33.253] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0727 Wh | Muestras: 65
[2026-09-09 15:04:34.253] [HWMON] CPU:  25.3% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0738 Wh | Muestras: 66
[2026-09-09 15:04:35.254] [HWMON] CPU:  25.2% | Temp: 51.8C | Power:  4.01 W | Energia: 0.0749 Wh | Muestras: 67
[2026-09-09 15:04:36.254] [HWMON] CPU:  25.1% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0760 Wh | Muestras: 68
[2026-09-09 15:04:37.255] [HWMON] CPU:  26.3% | Temp: 51.2C | Power:  4.06 W | Energia: 0.0771 Wh | Muestras: 69
[2026-09-09 15:04:38.255] [HWMON] CPU:  25.2% | Temp: 52.4C | Power:  4.02 W | Energia: 0.0783 Wh | Muestras: 70
[2026-09-09 15:04:39.255] [HWMON] CPU:  25.1% | Temp: 50.7C | Power:  3.99 W | Energia: 0.0794 Wh | Muestras: 71
[2026-09-09 15:04:40.256] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0805 Wh | Muestras: 72
[2026-09-09 15:04:41.256] [HWMON] CPU:  25.3% | Temp: 51.8C | Power:  4.02 W | Energia: 0.0816 Wh | Muestras: 73
[2026-09-09 15:04:42.257] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0827 Wh | Muestras: 74
[2026-09-09 15:04:43.257] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0838 Wh | Muestras: 75
[2026-09-09 15:04:44.258] [HWMON] CPU:  25.2% | Temp: 51.2C | Power:  4.01 W | Energia: 0.0849 Wh | Muestras: 76
[2026-09-09 15:04:45.258] [HWMON] CPU:  25.1% | Temp: 50.7C | Power:  3.99 W | Energia: 0.0861 Wh | Muestras: 77
