=================================================================
=== Medicion de Energia Raspberry Pi 5 Iniciada ===
=================================================================
Etiqueta:        Qiime2_c001_808
Intervalo:       1.0 s
Metodo telemetria: Modelo Dinamico Calibrado (hwmon + CPU)
Archivo de salida: energia_Qiime2_c001_808_20260909_140042.csv
Presiona Ctrl+C para detener la medicion cuando el proceso finalice.


[2026-09-09 14:01:24.593] [HWMON] CPU:  25.2% | Temp: 50.1C | Power:  3.99 W | Energia: 0.0459 Wh | Muestras: 42
[2026-09-09 14:01:25.594] [HWMON] CPU:  25.5% | Temp: 50.1C | Power:  4.00 W | Energia: 0.0470 Wh | Muestras: 43
[2026-09-09 14:01:26.594] [HWMON] CPU:  25.0% | Temp: 51.8C | Power:  4.00 W | Energia: 0.0481 Wh | Muestras: 44
[2026-09-09 14:01:27.594] [HWMON] CPU:  25.0% | Temp: 50.1C | Power:  3.98 W | Energia: 0.0492 Wh | Muestras: 45
[2026-09-09 14:01:28.595] [HWMON] CPU:  25.0% | Temp: 51.2C | Power:  3.99 W | Energia: 0.0503 Wh | Muestras: 46
[2026-09-09 14:01:29.595] [HWMON] CPU:  25.2% | Temp: 50.1C | Power:  3.99 W | Energia: 0.0514 Wh | Muestras: 47
[2026-09-09 14:01:30.596] [HWMON] CPU:  25.1% | Temp: 51.2C | Power:  4.00 W | Energia: 0.0525 Wh | Muestras: 48
[2026-09-09 14:01:31.596] [HWMON] CPU:  24.9% | Temp: 51.8C | Power:  4.00 W | Energia: 0.0537 Wh | Muestras: 49
[2026-09-09 14:01:32.596] [HWMON] CPU:  25.2% | Temp: 50.1C | Power:  3.99 W | Energia: 0.0548 Wh | Muestras: 50
[2026-09-09 14:01:33.597] [HWMON] CPU:  25.1% | Temp: 50.1C | Power:  3.98 W | Energia: 0.0559 Wh | Muestras: 51
[2026-09-09 14:01:34.597] [HWMON] CPU:  25.4% | Temp: 51.8C | Power:  4.02 W | Energia: 0.0570 Wh | Muestras: 52
[2026-09-09 14:01:35.598] [HWMON] CPU:  25.1% | Temp: 50.7C | Power:  3.99 W | Energia: 0.0581 Wh | Muestras: 53
[2026-09-09 14:01:36.598] [HWMON] CPU:  25.4% | Temp: 50.1C | Power:  4.00 W | Energia: 0.0592 Wh | Muestras: 54
[2026-09-09 14:01:37.599] [HWMON] CPU:  24.9% | Temp: 52.4C | Power:  4.00 W | Energia: 0.0603 Wh | Muestras: 55
[2026-09-09 14:01:38.599] [HWMON] CPU:  25.0% | Temp: 50.1C | Power:  3.98 W | Energia: 0.0614 Wh | Muestras: 56
[2026-09-09 14:01:39.599] [HWMON] CPU:  26.2% | Temp: 50.7C | Power:  4.05 W | Energia: 0.0626 Wh | Muestras: 57
