timestamp,power_w
2026-09-06 15:03:53.337,4.740
2026-09-06 15:03:54.337,4.728
2026-09-06 15:03:55.338,4.780
2026-09-06 15:03:56.338,4.825
2026-09-06 15:03:57.339,5.418
2026-09-06 15:03:58.339,10.915
2026-09-06 15:03:59.339,11.363
2026-09-06 15:04:00.340,2.462
2026-09-06 15:04:01.341,2.122
2026-09-06 15:04:02.341,2.169
2026-09-06 15:04:03.342,2.326
2026-09-06 15:04:04.342,2.132
2026-09-06 15:04:05.343,2.194
2026-09-06 15:04:06.343,2.215
2026-09-06 15:04:07.344,2.080
2026-09-06 15:04:08.344,2.169
2026-09-06 15:04:09.345,2.234
2026-09-06 15:04:10.345,2.110
2026-09-06 15:04:11.346,2.167
2026-09-06 15:04:12.347,2.098
2026-09-06 15:04:13.347,2.194
2026-09-06 15:04:14.347,2.220
2026-09-06 15:04:15.348,2.045
2026-09-06 15:04:16.349,2.133
2026-09-06 15:04:17.349,2.170
2026-09-06 15:04:18.350,2.045
2026-09-06 15:04:19.351,2.329
2026-09-06 15:04:20.351,2.143
2026-09-06 15:04:21.352,2.062
2026-09-06 15:04:22.352,2.141
2026-09-06 15:04:23.353,2.083
2026-09-06 15:04:24.354,2.253
2026-09-06 15:04:25.354,2.136
2026-09-06 15:04:26.355,2.096
2026-09-06 15:04:27.355,2.134
2026-09-06 15:04:28.356,2.178
2026-09-06 15:04:29.357,2.110
2026-09-06 15:04:30.357,2.091
2026-09-06 15:04:31.358,2.137
2026-09-06 15:04:32.359,2.054
2026-09-06 15:04:33.359,2.170
2026-09-06 15:04:34.360,2.068
2026-09-06 15:04:35.360,2.115
2026-09-06 15:04:36.361,2.134
2026-09-06 15:04:37.361,2.066
2026-09-06 15:04:38.362,2.114
2026-09-06 15:04:39.363,2.180
2026-09-06 15:04:40.363,2.045
2026-09-06 15:04:41.364,2.101
2026-09-06 15:04:42.365,2.159
2026-09-06 15:04:43.365,2.093
2026-09-06 15:04:44.366,2.182
2026-09-06 15:04:45.367,2.066
2026-09-06 15:04:46.367,2.145
2026-09-06 15:04:47.368,2.127
2026-09-06 15:04:48.369,2.045
2026-09-06 15:04:49.369,2.147
2026-09-06 15:04:50.370,2.223
2026-09-06 15:04:51.371,2.063
2026-09-06 15:04:52.371,2.134
2026-09-06 15:04:53.372,2.171
2026-09-06 15:04:54.373,2.181
2026-09-06 15:04:55.373,2.131
