timestamp,power_w
2026-09-07 20:00:18.976,2.198
2026-09-07 20:00:19.976,2.295
2026-09-07 20:00:20.977,7.025
2026-09-07 20:00:21.977,12.512
2026-09-07 20:00:22.977,7.689
2026-09-07 20:00:23.978,5.703
2026-09-07 20:00:24.978,6.290
2026-09-07 20:00:25.979,6.761
2026-09-07 20:00:26.979,8.747
2026-09-07 20:00:27.980,8.279
2026-09-07 20:00:28.980,5.549
2026-09-07 20:00:29.981,2.324
2026-09-07 20:00:30.982,2.246
2026-09-07 20:00:31.982,2.166
2026-09-07 20:00:32.983,2.289
2026-09-07 20:00:33.983,2.179
2026-09-07 20:00:34.984,2.092
2026-09-07 20:00:35.984,2.601
2026-09-07 20:00:36.985,2.260
2026-09-07 20:00:37.985,2.330
2026-09-07 20:00:38.986,2.214
2026-09-07 20:00:39.987,2.004
2026-09-07 20:00:40.987,2.115
2026-09-07 20:00:41.988,2.081
2026-09-07 20:00:42.989,1.976
2026-09-07 20:00:43.989,1.966
2026-09-07 20:00:44.990,2.036
2026-09-07 20:00:45.991,2.022
2026-09-07 20:00:46.991,2.034
2026-09-07 20:00:47.992,2.123
2026-09-07 20:00:48.992,2.034
2026-09-07 20:00:49.993,2.016
2026-09-07 20:00:50.994,1.989
2026-09-07 20:00:51.994,2.017
2026-09-07 20:00:52.995,2.198
2026-09-07 20:00:53.996,2.009
2026-09-07 20:00:54.996,2.020
2026-09-07 20:00:55.997,1.983
2026-09-07 20:00:56.998,2.095
2026-09-07 20:00:57.998,2.041
2026-09-07 20:00:58.999,2.006
2026-09-07 20:01:00.000,2.025
2026-09-07 20:01:01.000,2.118
2026-09-07 20:01:02.001,2.027
2026-09-07 20:01:03.002,2.012
2026-09-07 20:01:04.002,1.968
2026-09-07 20:01:05.003,2.003
2026-09-07 20:01:06.004,2.041
2026-09-07 20:01:07.004,1.992
2026-09-07 20:01:08.005,1.976
2026-09-07 20:01:09.006,2.003
2026-09-07 20:01:10.006,1.990
2026-09-07 20:01:11.007,2.132
2026-09-07 20:01:12.008,1.980
2026-09-07 20:01:13.008,2.094
2026-09-07 20:01:14.008,1.997
2026-09-07 20:01:15.009,2.000
2026-09-07 20:01:16.010,1.988
2026-09-07 20:01:17.010,2.061
2026-09-07 20:01:18.011,2.003
2026-09-07 20:01:19.012,1.961
2026-09-07 20:01:20.012,1.987
2026-09-07 20:01:21.013,2.065
2026-09-07 20:01:22.014,1.998
2026-09-07 20:01:23.014,2.008
