timestamp,power_w
2026-09-06 15:53:51.137,2.128
2026-09-06 15:53:52.138,2.235
2026-09-06 15:53:53.139,2.163
2026-09-06 15:53:54.139,2.571
2026-09-06 15:53:55.140,2.284
2026-09-06 15:53:56.140,2.161
2026-09-06 15:53:57.141,2.031
2026-09-06 15:53:58.141,2.193
2026-09-06 15:53:59.142,2.169
2026-09-06 15:54:00.142,2.604
2026-09-06 15:54:01.143,2.250
2026-09-06 15:54:02.144,2.115
2026-09-06 15:54:03.144,2.149
2026-09-06 15:54:04.145,2.109
2026-09-06 15:54:05.146,2.235
2026-09-06 15:54:06.146,2.173
2026-09-06 15:54:07.147,2.067
2026-09-06 15:54:08.147,2.128
2026-09-06 15:54:09.148,2.155
2026-09-06 15:54:10.149,2.255
2026-09-06 15:54:11.149,2.155
2026-09-06 15:54:12.150,2.178
2026-09-06 15:54:13.151,2.043
2026-09-06 15:54:14.151,2.160
2026-09-06 15:54:15.152,2.043
2026-09-06 15:54:16.152,2.174
2026-09-06 15:54:17.153,2.147
2026-09-06 15:54:18.154,2.132
2026-09-06 15:54:19.154,2.132
2026-09-06 15:54:20.155,2.219
2026-09-06 15:54:21.156,2.019
2026-09-06 15:54:22.156,2.143
2026-09-06 15:54:23.157,2.124
2026-09-06 15:54:24.157,2.081
2026-09-06 15:54:25.158,2.137
2026-09-06 15:54:26.159,2.086
2026-09-06 15:54:27.159,2.159
2026-09-06 15:54:28.160,2.176
2026-09-06 15:54:29.161,2.048
2026-09-06 15:54:30.161,2.274
2026-09-06 15:54:31.162,2.135
2026-09-06 15:54:32.162,2.133
2026-09-06 15:54:33.163,2.076
2026-09-06 15:54:34.164,2.161
2026-09-06 15:54:35.164,2.106
2026-09-06 15:54:36.165,2.174
2026-09-06 15:54:37.165,2.051
2026-09-06 15:54:38.166,2.104
2026-09-06 15:54:39.167,2.160
2026-09-06 15:54:40.167,2.140
2026-09-06 15:54:41.168,2.062
2026-09-06 15:54:42.168,2.138
2026-09-06 15:54:43.169,2.032
2026-09-06 15:54:44.169,2.140
2026-09-06 15:54:45.170,2.130
2026-09-06 15:54:46.171,2.096
2026-09-06 15:54:47.171,2.123
2026-09-06 15:54:48.172,2.097
2026-09-06 15:54:49.173,2.073
2026-09-06 15:54:50.173,2.348
2026-09-06 15:54:51.173,2.090
2026-09-06 15:54:52.174,2.142
2026-09-06 15:54:53.175,2.129
2026-09-06 15:54:54.175,2.259
2026-09-06 15:54:55.176,2.084
2026-09-06 15:54:56.176,2.196
2026-09-06 15:54:57.177,2.035
