timestamp,power_w
2026-09-07 18:14:25.760,2.129
2026-09-07 18:14:26.760,2.293
2026-09-07 18:14:27.761,2.205
2026-09-07 18:14:28.762,2.132
2026-09-07 18:14:29.762,2.277
2026-09-07 18:14:30.762,5.586
2026-09-07 18:14:31.763,5.582
2026-09-07 18:14:32.764,2.303
2026-09-07 18:14:33.764,2.155
2026-09-07 18:14:34.765,2.016
2026-09-07 18:14:35.765,2.181
2026-09-07 18:14:36.766,2.154
2026-09-07 18:14:37.767,1.995
2026-09-07 18:14:38.767,1.971
2026-09-07 18:14:39.768,1.962
2026-09-07 18:14:40.769,2.023
2026-09-07 18:14:41.769,1.991
2026-09-07 18:14:42.770,1.964
2026-09-07 18:14:43.771,1.976
2026-09-07 18:14:44.771,2.020
2026-09-07 18:14:45.772,1.976
2026-09-07 18:14:46.772,1.942
2026-09-07 18:14:47.773,1.987
2026-09-07 18:14:48.774,2.017
2026-09-07 18:14:49.774,1.956
2026-09-07 18:14:50.775,1.963
2026-09-07 18:14:51.775,1.960
2026-09-07 18:14:52.776,2.014
2026-09-07 18:14:53.777,1.935
2026-09-07 18:14:54.777,1.973
2026-09-07 18:14:55.778,1.957
2026-09-07 18:14:56.779,2.049
2026-09-07 18:14:57.779,1.945
2026-09-07 18:14:58.780,1.967
2026-09-07 18:14:59.781,1.979
2026-09-07 18:15:00.781,2.180
2026-09-07 18:15:01.782,2.172
2026-09-07 18:15:02.782,1.952
2026-09-07 18:15:03.783,1.964
2026-09-07 18:15:04.784,2.032
2026-09-07 18:15:05.784,1.935
2026-09-07 18:15:06.785,1.946
2026-09-07 18:15:07.785,1.944
2026-09-07 18:15:08.786,2.023
2026-09-07 18:15:09.787,1.955
2026-09-07 18:15:10.787,2.127
2026-09-07 18:15:11.788,1.988
2026-09-07 18:15:12.788,2.094
2026-09-07 18:15:13.789,1.958
2026-09-07 18:15:14.790,1.956
2026-09-07 18:15:15.790,1.987
2026-09-07 18:15:16.791,2.044
2026-09-07 18:15:17.792,1.954
2026-09-07 18:15:18.792,1.937
2026-09-07 18:15:19.793,1.988
2026-09-07 18:15:20.794,2.023
2026-09-07 18:15:21.794,1.968
2026-09-07 18:15:22.795,1.933
2026-09-07 18:15:23.795,1.968
2026-09-07 18:15:24.796,2.164
2026-09-07 18:15:25.797,1.936
2026-09-07 18:15:26.797,1.931
2026-09-07 18:15:27.798,1.988
2026-09-07 18:15:28.799,2.025
2026-09-07 18:15:29.799,1.997
2026-09-07 18:15:30.800,1.999
2026-09-07 18:15:31.801,2.157
2026-09-07 18:15:32.801,2.049
