timestamp,power_w
2026-09-07 18:26:41.090,21.044
2026-09-07 18:26:42.090,26.294
2026-09-07 18:26:43.090,25.905
2026-09-07 18:26:44.090,20.179
2026-09-07 18:26:45.091,16.471
2026-09-07 18:26:46.091,17.491
2026-09-07 18:26:47.091,17.352
2026-09-07 18:26:48.092,21.103
2026-09-07 18:26:49.092,21.115
2026-09-07 18:26:50.092,21.134
2026-09-07 18:26:51.093,20.790
2026-09-07 18:26:52.093,20.775
2026-09-07 18:26:53.093,19.071
2026-09-07 18:26:54.093,20.571
2026-09-07 18:26:55.094,19.086
2026-09-07 18:26:56.094,19.117
2026-09-07 18:26:57.094,19.089
2026-09-07 18:26:58.094,19.028
2026-09-07 18:26:59.094,19.090
2026-09-07 18:27:00.095,19.266
2026-09-07 18:27:01.095,19.088
2026-09-07 18:27:02.095,18.955
2026-09-07 18:27:03.095,18.999
2026-09-07 18:27:04.095,20.052
2026-09-07 18:27:05.096,21.975
2026-09-07 18:27:06.096,21.352
2026-09-07 18:27:07.096,21.547
2026-09-07 18:27:08.096,21.365
2026-09-07 18:27:09.097,21.399
2026-09-07 18:27:10.097,21.853
2026-09-07 18:27:11.097,20.870
2026-09-07 18:27:12.097,21.254
2026-09-07 18:27:13.098,21.992
2026-09-07 18:27:14.098,21.488
2026-09-07 18:27:15.098,21.013
2026-09-07 18:27:16.098,21.428
2026-09-07 18:27:17.099,21.847
2026-09-07 18:27:18.099,23.534
2026-09-07 18:27:19.099,23.602
2026-09-07 18:27:20.099,23.579
2026-09-07 18:27:21.099,23.535
2026-09-07 18:27:22.100,23.377
2026-09-07 18:27:23.100,23.509
2026-09-07 18:27:24.100,23.571
2026-09-07 18:27:25.100,23.762
2026-09-07 18:27:26.101,23.351
2026-09-07 18:27:27.101,23.531
2026-09-07 18:27:28.101,23.506
2026-09-07 18:27:29.101,23.374
2026-09-07 18:27:30.101,23.557
2026-09-07 18:27:31.102,23.658
2026-09-07 18:27:32.102,23.669
2026-09-07 18:27:33.102,23.703
2026-09-07 18:27:34.102,23.557
2026-09-07 18:27:35.103,23.545
2026-09-07 18:27:36.103,23.161
2026-09-07 18:27:37.103,23.576
2026-09-07 18:27:38.103,23.618
2026-09-07 18:27:39.103,23.605
2026-09-07 18:27:40.104,23.470
2026-09-07 18:27:41.104,23.367
2026-09-07 18:27:42.104,20.964
2026-09-07 18:27:43.104,19.598
2026-09-07 18:27:44.105,19.631
2026-09-07 18:27:45.105,19.509
2026-09-07 18:27:46.105,20.489
2026-09-07 18:27:47.105,20.949
2026-09-07 18:27:48.106,21.621
2026-09-07 18:27:49.106,21.843
2026-09-07 18:27:50.106,21.982
2026-09-07 18:27:51.106,21.925
2026-09-07 18:27:52.107,21.923
2026-09-07 18:27:53.107,21.885
2026-09-07 18:27:54.107,21.898
2026-09-07 18:27:55.108,21.985
2026-09-07 18:27:56.108,21.903
2026-09-07 18:27:57.108,21.898
2026-09-07 18:27:58.108,21.883
2026-09-07 18:27:59.109,21.922
2026-09-07 18:28:00.109,22.037
2026-09-07 18:28:01.109,22.019
2026-09-07 18:28:02.110,21.942
2026-09-07 18:28:03.110,21.889
2026-09-07 18:28:04.110,21.922
2026-09-07 18:28:05.110,22.036
2026-09-07 18:28:06.111,22.060
2026-09-07 18:28:07.111,21.940
2026-09-07 18:28:08.111,21.922
2026-09-07 18:28:09.112,21.926
2026-09-07 18:28:10.112,21.914
2026-09-07 18:28:11.112,22.087
2026-09-07 18:28:12.112,21.955
2026-09-07 18:28:13.113,21.908
