timestamp,power_w
2026-09-09 15:03:21.935,3.122
2026-09-09 15:03:22.935,2.700
2026-09-09 15:03:23.936,2.828
2026-09-09 15:03:24.936,3.057
2026-09-09 15:03:25.937,2.828
2026-09-09 15:03:26.937,3.383
2026-09-09 15:03:27.937,3.399
2026-09-09 15:03:28.938,3.238
2026-09-09 15:03:29.938,3.410
2026-09-09 15:03:30.939,3.776
2026-09-09 15:03:31.939,3.991
2026-09-09 15:03:32.940,3.997
2026-09-09 15:03:33.940,3.992
2026-09-09 15:03:34.941,4.014
2026-09-09 15:03:35.941,3.978
2026-09-09 15:03:36.941,3.990
2026-09-09 15:03:37.942,3.975
2026-09-09 15:03:38.942,4.039
2026-09-09 15:03:39.943,3.971
2026-09-09 15:03:40.943,4.010
2026-09-09 15:03:41.944,3.977
2026-09-09 15:03:42.944,4.001
2026-09-09 15:03:43.944,3.997
2026-09-09 15:03:44.945,4.000
2026-09-09 15:03:45.945,4.014
2026-09-09 15:03:46.946,3.990
2026-09-09 15:03:47.946,3.990
2026-09-09 15:03:48.947,3.986
2026-09-09 15:03:49.947,3.989
2026-09-09 15:03:50.947,3.994
2026-09-09 15:03:51.948,4.010
2026-09-09 15:03:52.948,3.997
2026-09-09 15:03:53.949,3.993
2026-09-09 15:03:54.949,4.056
2026-09-09 15:03:55.950,3.992
2026-09-09 15:03:56.950,4.003
2026-09-09 15:03:57.950,4.015
2026-09-09 15:03:58.951,3.971
2026-09-09 15:03:59.951,4.016
2026-09-09 15:04:00.952,3.992
2026-09-09 15:04:01.952,4.005
2026-09-09 15:04:03.723,3.168
2026-09-09 15:04:04.724,2.713
2026-09-09 15:04:05.724,2.713
2026-09-09 15:04:06.725,2.700
2026-09-09 15:04:07.725,3.539
2026-09-09 15:04:12.743,3.135
2026-09-09 15:04:13.744,3.985
2026-09-09 15:04:14.744,3.987
2026-09-09 15:04:15.745,3.988
2026-09-09 15:04:16.745,3.994
2026-09-09 15:04:17.746,4.006
