timestamp,power_w
2026-09-09 14:00:43.552,3.603
2026-09-09 14:00:44.553,3.388
2026-09-09 14:00:45.553,3.447
2026-09-09 14:00:46.554,3.399
2026-09-09 14:00:47.554,3.464
2026-09-09 14:00:48.555,3.968
2026-09-09 14:00:49.555,3.989
2026-09-09 14:00:50.556,4.042
2026-09-09 14:00:51.556,3.978
2026-09-09 14:00:52.556,4.001
2026-09-09 14:00:53.557,3.975
2026-09-09 14:00:54.557,3.975
2026-09-09 14:00:55.558,3.978
2026-09-09 14:00:56.558,3.975
2026-09-09 14:00:57.558,3.995
2026-09-09 14:00:58.559,3.975
2026-09-09 14:00:59.559,3.994
2026-09-09 14:01:00.560,3.977
2026-09-09 14:01:01.560,3.996
2026-09-09 14:01:02.561,3.997
2026-09-09 14:01:03.584,4.006
2026-09-09 14:01:04.585,3.985
2026-09-09 14:01:05.585,3.997
2026-09-09 14:01:06.586,4.045
2026-09-09 14:01:07.586,3.994
2026-09-09 14:01:08.586,3.986
2026-09-09 14:01:09.587,3.975
2026-09-09 14:01:10.587,3.987
2026-09-09 14:01:11.588,3.968
2026-09-09 14:01:12.588,4.005
2026-09-09 14:01:13.588,4.005
2026-09-09 14:01:14.589,4.003
2026-09-09 14:01:15.589,3.987
2026-09-09 14:01:16.590,3.971
2026-09-09 14:01:17.590,3.987
2026-09-09 14:01:18.591,3.994
2026-09-09 14:01:19.591,3.994
2026-09-09 14:01:20.591,3.986
2026-09-09 14:01:21.592,3.977
2026-09-09 14:01:22.592,3.987
2026-09-09 14:01:23.593,4.066
2026-09-09 14:01:24.593,3.990
2026-09-09 14:01:25.594,4.003
2026-09-09 14:01:26.594,4.002
2026-09-09 14:01:27.594,3.977
2026-09-09 14:01:28.595,3.994
2026-09-09 14:01:29.595,3.987
2026-09-09 14:01:30.596,3.997
2026-09-09 14:01:31.596,3.999
2026-09-09 14:01:32.596,3.987
2026-09-09 14:01:33.597,3.980
2026-09-09 14:01:34.597,4.021
2026-09-09 14:01:35.598,3.989
2026-09-09 14:01:36.598,4.000
2026-09-09 14:01:37.599,4.004
2026-09-09 14:01:38.599,3.977
2026-09-09 14:01:39.599,4.046
