timestamp,power_w
2026-09-09 15:03:21.975,2.960
2026-09-09 15:03:22.975,2.725
2026-09-09 15:03:23.976,2.713
2026-09-09 15:03:24.976,2.739
2026-09-09 15:03:25.977,2.828
2026-09-09 15:03:26.977,3.460
2026-09-09 15:03:27.978,3.117
2026-09-09 15:03:28.978,2.945
2026-09-09 15:03:29.979,3.112
2026-09-09 15:03:30.979,2.985
2026-09-09 15:03:31.980,3.013
2026-09-09 15:03:32.981,3.035
2026-09-09 15:03:33.981,2.986
2026-09-09 15:03:34.982,3.088
2026-09-09 15:03:35.982,3.064
2026-09-09 15:03:36.983,3.023
2026-09-09 15:03:37.983,3.023
2026-09-09 15:03:38.984,3.099
2026-09-09 15:03:39.984,3.975
2026-09-09 15:03:40.985,3.969
2026-09-09 15:03:41.985,3.990
2026-09-09 15:03:42.986,3.978
2026-09-09 15:03:43.986,3.991
2026-09-09 15:03:44.987,3.998
2026-09-09 15:03:45.987,3.978
2026-09-09 15:03:46.987,4.042
2026-09-09 15:03:47.988,3.994
2026-09-09 15:03:48.988,3.985
2026-09-09 15:03:49.989,3.990
2026-09-09 15:03:50.989,3.993
2026-09-09 15:03:51.990,3.977
2026-09-09 15:03:52.990,4.000
2026-09-09 15:03:53.991,3.985
2026-09-09 15:03:54.991,3.992
2026-09-09 15:03:55.991,3.988
2026-09-09 15:03:56.992,3.998
2026-09-09 15:03:57.992,3.998
2026-09-09 15:03:58.993,3.992
2026-09-09 15:03:59.993,3.990
2026-09-09 15:04:00.994,3.997
2026-09-09 15:04:01.994,4.010
2026-09-09 15:04:10.243,3.071
2026-09-09 15:04:11.243,2.700
2026-09-09 15:04:12.244,3.725
2026-09-09 15:04:13.244,3.990
2026-09-09 15:04:14.245,3.998
2026-09-09 15:04:15.245,3.978
2026-09-09 15:04:16.246,4.013
2026-09-09 15:04:17.246,3.965
2026-09-09 15:04:18.246,4.008
2026-09-09 15:04:19.247,4.028
2026-09-09 15:04:20.247,3.989
2026-09-09 15:04:21.248,3.988
2026-09-09 15:04:22.248,3.977
2026-09-09 15:04:23.249,4.008
2026-09-09 15:04:24.249,4.003
2026-09-09 15:04:25.249,3.989
2026-09-09 15:04:26.250,4.006
2026-09-09 15:04:27.250,3.978
2026-09-09 15:04:28.251,3.977
2026-09-09 15:04:29.251,3.995
2026-09-09 15:04:30.252,3.997
2026-09-09 15:04:31.252,3.994
2026-09-09 15:04:32.252,4.015
2026-09-09 15:04:33.253,4.006
2026-09-09 15:04:34.253,4.010
2026-09-09 15:04:35.254,4.012
2026-09-09 15:04:36.254,4.000
2026-09-09 15:04:37.255,4.061
2026-09-09 15:04:38.255,4.023
2026-09-09 15:04:39.255,3.989
2026-09-09 15:04:40.256,4.006
2026-09-09 15:04:41.256,4.018
2026-09-09 15:04:42.257,4.006
2026-09-09 15:04:43.257,4.006
2026-09-09 15:04:44.258,4.006
2026-09-09 15:04:45.258,3.989
2026-09-09 15:04:46.259,4.025
2026-09-09 15:04:47.259,4.024
2026-09-09 15:04:48.259,4.018
2026-09-09 15:04:49.260,4.001
2026-09-09 15:04:50.260,3.998
2026-09-09 15:04:51.261,4.005
2026-09-09 15:04:52.261,4.015
2026-09-09 15:04:53.262,4.073
2026-09-09 15:04:54.262,4.006
2026-09-09 15:04:55.263,3.996
2026-09-09 15:04:56.263,4.018
2026-09-09 15:04:57.263,3.990
2026-09-09 15:04:58.264,4.018
2026-09-09 15:04:59.264,3.960
2026-09-09 15:05:00.265,4.018
2026-09-09 15:05:01.265,4.010
2026-09-09 15:05:02.266,3.993
2026-09-09 15:05:03.266,4.005
2026-09-09 15:05:04.267,4.006
2026-09-09 15:05:05.267,3.987
2026-09-09 15:05:06.267,4.006
2026-09-09 15:05:07.268,4.010
2026-09-09 15:05:08.268,4.010
2026-09-09 15:05:09.269,4.021
2026-09-09 15:05:10.269,4.069
2026-09-09 15:05:11.270,4.021
2026-09-09 15:05:12.270,4.001
2026-09-09 15:05:13.271,4.013
2026-09-09 15:05:14.271,4.000
2026-09-09 15:05:15.271,4.005
2026-09-09 15:05:16.272,3.998
2026-09-09 15:05:17.272,3.995
2026-09-09 15:05:18.273,4.008
2026-09-09 15:05:19.273,4.013
2026-09-09 15:05:20.274,4.023
2026-09-09 15:05:21.274,4.112
2026-09-09 15:05:22.275,4.033
2026-09-09 15:05:23.275,4.010
2026-09-09 15:05:24.276,4.025
2026-09-09 15:05:25.276,4.023
2026-09-09 15:05:26.276,4.058
2026-09-09 15:05:27.277,4.004
2026-09-09 15:05:28.277,4.006
2026-09-09 15:05:29.278,4.023
2026-09-09 15:05:30.278,4.010
2026-09-09 15:05:31.279,4.022
2026-09-09 15:05:32.279,4.023
2026-09-09 15:05:33.280,4.034
2026-09-09 15:05:34.280,4.046
2026-09-09 15:05:35.280,4.004
2026-09-09 15:05:36.281,4.036
2026-09-09 15:05:37.281,4.026
2026-09-09 15:05:38.282,3.994
2026-09-09 15:05:39.282,4.018
2026-09-09 15:05:40.283,4.010
2026-09-09 15:05:41.283,4.000
2026-09-09 15:05:42.284,4.024
2026-09-09 15:05:43.284,4.073
2026-09-09 15:05:44.284,4.023
2026-09-09 15:05:45.285,4.012
2026-09-09 15:05:46.285,4.034
2026-09-09 15:05:47.286,4.026
2026-09-09 15:05:48.286,4.017
2026-09-09 15:05:49.287,4.012
2026-09-09 15:05:50.287,4.017
2026-09-09 15:05:51.288,4.020
2026-09-09 15:05:52.288,4.026
2026-09-09 15:05:53.288,4.010
2026-09-09 15:05:54.289,4.008
2026-09-09 15:05:55.289,4.031
2026-09-09 15:05:56.290,4.026
2026-09-09 15:05:57.290,4.003
2026-09-09 15:05:58.291,4.029
2026-09-09 15:05:59.291,4.010
2026-09-09 15:06:00.292,4.073
2026-09-09 15:06:01.292,4.020
2026-09-09 15:06:02.292,4.033
2026-09-09 15:06:03.293,4.005
2026-09-09 15:06:04.293,4.013
2026-09-09 15:06:05.294,4.006
2026-09-09 15:06:06.309,4.037
2026-09-09 15:06:07.310,4.022
2026-09-09 15:06:08.310,4.036
2026-09-09 15:06:09.311,4.041
2026-09-09 15:06:10.311,4.040
2026-09-09 15:06:11.312,3.992
2026-09-09 15:06:12.312,4.031
2026-09-09 15:06:13.312,4.013
2026-09-09 15:06:14.313,4.025
2026-09-09 15:06:15.313,4.006
2026-09-09 15:06:16.314,4.030
2026-09-09 15:06:17.314,4.091
2026-09-09 15:06:18.315,4.026
2026-09-09 15:06:19.315,4.019
2026-09-09 15:06:20.315,4.026
2026-09-09 15:06:21.316,4.033
2026-09-09 15:06:22.316,4.018
2026-09-09 15:06:23.317,4.043
2026-09-09 15:06:24.317,4.015
2026-09-09 15:06:25.318,4.015
2026-09-09 15:06:26.318,4.020
2026-09-09 15:06:27.319,4.043
2026-09-09 15:06:28.319,4.023
2026-09-09 15:06:29.319,4.030
2026-09-09 15:06:30.320,4.033
2026-09-09 15:06:31.320,4.041
2026-09-09 15:06:32.321,4.007
2026-09-09 15:06:33.321,4.102
2026-09-09 15:06:34.322,4.034
2026-09-09 15:06:35.322,4.034
2026-09-09 15:06:36.323,4.031
2026-09-09 15:06:37.323,4.027
2026-09-09 15:06:38.323,4.043
2026-09-09 15:06:39.324,4.041
2026-09-09 15:06:40.324,4.027
2026-09-09 15:06:41.325,4.043
2026-09-09 15:06:42.325,4.013
2026-09-09 15:06:43.326,4.018
2026-09-09 15:06:44.326,4.041
2026-09-09 15:06:45.327,4.049
2026-09-09 15:06:46.327,4.064
2026-09-09 15:06:47.327,4.027
2026-09-09 15:06:48.328,4.038
2026-09-09 15:06:49.328,4.028
2026-09-09 15:06:50.329,4.055
2026-09-09 15:06:51.329,4.026
2026-09-09 15:06:52.330,4.010
2026-09-09 15:06:53.330,4.023
2026-09-09 15:06:54.330,4.017
2026-09-09 15:06:55.331,4.023
2026-09-09 15:06:56.331,4.049
2026-09-09 15:06:57.332,4.043
2026-09-09 15:06:58.332,4.061
2026-09-09 15:06:59.333,4.040
2026-09-09 15:07:00.333,4.038
2026-09-09 15:07:01.334,4.031
2026-09-09 15:07:02.334,4.041
2026-09-09 15:07:03.334,4.020
2026-09-09 15:07:04.335,4.033
2026-09-09 15:07:05.335,4.022
2026-09-09 15:07:06.336,4.040
2026-09-09 15:07:07.336,4.105
2026-09-09 15:07:08.337,4.038
2026-09-09 15:07:09.337,4.026
2026-09-09 15:07:10.338,4.025
2026-09-09 15:07:11.338,4.030
2026-09-09 15:07:12.338,4.059
2026-09-09 15:07:13.339,4.035
2026-09-09 15:07:14.339,4.048
2026-09-09 15:07:15.340,4.038
2026-09-09 15:07:16.340,4.043
2026-09-09 15:07:17.341,4.013
2026-09-09 15:07:18.341,4.043
2026-09-09 15:07:19.341,4.051
2026-09-09 15:07:20.342,4.057
2026-09-09 15:07:21.342,4.051
2026-09-09 15:07:22.343,4.043
2026-09-09 15:07:23.343,4.107
2026-09-09 15:07:24.344,4.048
2026-09-09 15:07:25.344,4.027
2026-09-09 15:07:26.344,4.051
2026-09-09 15:07:27.345,4.031
2026-09-09 15:07:28.345,4.038
2026-09-09 15:07:29.346,4.048
2026-09-09 15:07:30.346,4.034
2026-09-09 15:07:31.347,4.051
2026-09-09 15:07:32.347,4.057
2026-09-09 15:07:33.348,4.043
2026-09-09 15:07:34.348,4.041
2026-09-09 15:07:35.349,4.048
2026-09-09 15:07:36.349,4.038
2026-09-09 15:07:37.349,4.048
2026-09-09 15:07:38.350,4.038
2026-09-09 15:07:39.351,4.048
2026-09-09 15:07:40.351,4.068
2026-09-09 15:07:41.352,4.048
2026-09-09 15:07:42.352,4.056
2026-09-09 15:07:43.352,4.051
2026-09-09 15:07:44.353,4.045
2026-09-09 15:07:45.353,4.059
2026-09-09 15:07:46.354,4.059
2026-09-09 15:07:47.354,4.048
2026-09-09 15:07:48.355,4.043
2026-09-09 15:07:49.355,4.046
2026-09-09 15:07:50.356,4.038
2026-09-09 15:07:51.356,4.059
2026-09-09 15:07:52.356,4.046
2026-09-09 15:07:53.357,4.048
2026-09-09 15:07:54.357,4.034
2026-09-09 15:07:55.358,4.064
2026-09-09 15:07:56.358,4.086
2026-09-09 15:07:57.359,4.051
2026-09-09 15:07:58.359,4.051
2026-09-09 15:07:59.360,4.053
2026-09-09 15:08:00.360,4.041
2026-09-09 15:08:01.361,4.030
2026-09-09 15:08:02.361,4.038
2026-09-09 15:08:03.361,4.048
2026-09-09 15:08:04.362,4.030
2026-09-09 15:08:05.362,4.040
2026-09-09 15:08:06.363,4.071
2026-09-09 15:08:07.363,4.041
2026-09-09 15:08:08.364,4.064
2026-09-09 15:08:09.364,4.041
2026-09-09 15:08:10.364,4.038
2026-09-09 15:08:11.365,4.048
2026-09-09 15:08:12.365,4.102
2026-09-09 15:08:13.366,4.036
2026-09-09 15:08:14.366,4.040
2026-09-09 15:08:15.367,4.030
2026-09-09 15:08:16.367,4.059
2026-09-09 15:08:17.368,4.046
2026-09-09 15:08:18.368,4.051
2026-09-09 15:08:19.368,4.066
2026-09-09 15:08:20.369,4.050
2026-09-09 15:08:21.369,3.693
2026-09-09 15:08:22.370,3.538
2026-09-09 15:08:23.370,2.735
2026-09-09 15:08:24.371,2.719
2026-09-09 15:08:28.399,3.091
2026-09-09 15:08:29.399,4.081
2026-09-09 15:08:30.400,4.050
2026-09-09 15:08:31.400,4.056
2026-09-09 15:08:32.401,4.051
2026-09-09 15:08:33.401,4.043
2026-09-09 15:08:34.402,4.056
2026-09-09 15:08:35.402,4.038
2026-09-09 15:08:36.402,3.997
2026-09-09 15:08:37.403,4.051
2026-09-09 15:08:38.403,3.436
2026-09-09 15:08:39.404,2.727
2026-09-09 15:08:40.404,2.833
2026-09-09 15:08:41.405,4.064
2026-09-09 15:08:42.405,3.129
2026-09-09 15:08:43.406,2.719
2026-09-09 15:08:44.406,2.744
2026-09-09 15:08:45.406,2.778
2026-09-09 15:08:46.407,2.727
2026-09-09 15:08:47.407,3.527
2026-09-09 15:08:48.408,3.757
2026-09-09 15:08:49.408,3.515
2026-09-09 15:08:50.409,3.538
2026-09-09 15:08:51.409,3.531
2026-09-09 15:08:52.410,3.923
2026-09-09 15:08:53.410,4.034
2026-09-09 15:08:54.410,4.075
2026-09-09 15:08:55.411,4.019
